Search,Type,X2018.04.08,X2018.04.15,X2018.04.22,X2018.04.29,X2018.05.06,X2018.05.13,X2018.05.20,X2018.05.27,X2018.06.03,X2018.06.10,X2018.06.17,X2018.06.24,X2018.07.01,X2018.07.08,X2018.07.15,X2018.07.22,X2018.07.29,X2018.08.05,X2018.08.12,X2018.08.19,X2018.08.26,X2018.09.02,X2018.09.09,X2018.09.16,X2018.09.23,X2018.09.30,X2018.10.07,X2018.10.14,X2018.10.21,X2018.10.28,X2018.11.04,X2018.11.11,X2018.11.18,X2018.11.25,X2018.12.02,X2018.12.09,X2018.12.16,X2018.12.23,X2018.12.30,X2019.01.06,X2019.01.13,X2019.01.20,X2019.01.27,X2019.02.03,X2019.02.10,X2019.02.17,X2019.02.24,X2019.03.03,X2019.03.10,X2019.03.17,X2019.03.24,X2019.03.31
Willie Nelson,Musician,57,47,43,58,100,49,45,73,46,41,44,43,47,34,35,37,34,36,28,33,53,37,52,72,41,40,28,28,29,31,33,34,30,27,31,30,31,37,34,36,41,25,36,33,36,33,30,35,33,29,30,32
Simon & Garfunkel,Musician,49,55,61,54,26,52,66,81,68,64,56,49,87,65,64,81,64,41,72,69,87,57,63,75,71,66,46,73,68,65,61,54,80,61,44,61,53,59,100,56,61,50,45,58,56,65,60,61,74,47,59,32
The Everly Brothers,Musician,39,42,23,30,37,32,20,44,38,33,36,39,46,34,26,43,33,38,59,100,49,49,36,40,45,34,41,32,45,28,46,36,23,72,49,38,38,32,41,27,40,52,44,44,37,45,48,33,44,41,27,50
Otis Redding,Musician,26,30,33,36,27,32,28,32,30,46,38,29,32,28,34,38,49,36,100,51,39,45,38,35,33,30,28,27,26,29,29,29,30,28,30,43,39,44,34,30,29,28,29,27,38,31,28,24,28,29,35,23
Marvin Gaye,Musician,34,36,33,30,31,29,31,30,27,28,31,55,47,32,30,29,34,29,38,30,30,26,28,23,26,26,27,31,24,27,26,27,29,24,23,48,27,31,37,32,30,26,30,32,38,36,39,33,33,29,42,100
Van Morrison,Musician,68,57,58,73,62,61,62,53,56,60,60,53,70,54,58,54,64,60,75,63,71,81,100,72,60,52,51,45,50,46,48,52,97,56,48,69,54,60,54,56,60,67,72,67,68,54,53,48,57,66,54,53
The Supremes,Musician,29,40,42,41,38,32,30,38,37,31,38,36,42,33,38,33,60,40,50,48,44,37,32,48,42,43,38,37,50,33,32,31,45,48,38,46,60,55,46,46,41,93,51,71,100,66,76,47,33,42,54,36
Bob Dylan,Musician,63,64,66,78,66,60,90,62,60,57,54,63,59,55,60,61,57,88,68,72,65,56,62,70,67,68,67,75,71,74,79,80,100,78,70,68,67,69,69,63,63,62,62,68,64,59,60,59,58,58,59,71
The Beatles,Musician,87,83,86,86,84,89,85,81,75,77,89,100,83,83,79,83,81,80,80,91,83,85,91,80,83,90,81,78,77,82,83,87,81,78,84,81,82,85,91,84,76,79,91,82,96,97,92,86,86,88,83,89
Neil Young,Musician,35,35,42,47,39,41,36,34,36,31,38,46,49,40,34,31,33,33,33,34,100,58,41,44,62,41,34,32,32,58,39,72,35,34,33,35,36,36,52,47,34,40,43,96,58,40,34,30,31,35,48,37
